GeneSymbol	MCF7_FDI-6_0h_r1	MCF7_FDI-6_0h_r2	MCF7_FDI-6_0h_r3	MCF7_FDI-6_3h_r1	MCF7_FDI-6_3h_r2	MCF7_FDI-6_3h_r3	random1	random2	random3	random4
C16orf58	21.3004592757745	22.7759559172931	23.2302431435975	20.973483644084	23.321405591314	21.7056126207406	22.7759559172931	21.7056126207406	21.7056126207406	21.3004592757745
C16orf70	6.35068431054691	9.69332925409613	7.25751043091797	6.41102984407547	5.32182843461106	7.99490842892768	9.69332925409613	7.99490842892768	7.99490842892768	6.35068431054691
C16orf71	0.505335778728828	1.39179992281018	0.191612816765451	0.955282713405289	0.600862775293092	0.893544477332664	1.39179992281018	0.893544477332664	0.893544477332664	0.505335778728828
C16orf72	37.6656677985977	35.4509415917161	36.7267462581858	39.023690312926	36.8950074488798	41.2525598455289	35.4509415917161	41.2525598455289	41.2525598455289	37.6656677985977
C16orf74	63.7551254605135	72.5358759846374	62.9561817441902	60.4294318044774	66.6365242414914	61.0432987122064	72.5358759846374	61.0432987122064	61.0432987122064	63.7551254605135
C16orf86	0.200877835762187	0.198241954214513	0.522955273807741	0.246624421508383	0.173199285252112	0.110929329033552	0.198241954214513	0.110929329033552	0.110929329033552	0.200877835762187
C16orf87	15.3400234567932	12.9549880162719	14.3108479183197	11.8578082082798	9.16774131953178	10.2938279025625	12.9549880162719	10.2938279025625	10.2938279025625	15.3400234567932
C16orf91	57.4852578646317	65.2667193003722	60.6761090709879	63.088145458595	54.8411841454994	58.5969323815779	65.2667193003722	58.5969323815779	58.5969323815779	57.4852578646317
C16orf95	3.7693909164927	5.24865139170237	4.09250087193105	3.23385188771956	2.38420434983523	4.35900930160378	5.24865139170237	4.35900930160378	4.35900930160378	3.7693909164927
C17orf100	1.80363307415938	1.2267509982232	1.49634425115582	1.41451803020793	1.90876255693634	1.75308554895222	1.2267509982232	1.75308554895222	1.75308554895222	1.80363307415938
C17orf107	0.227966791486174	0.26841387135045	0.336836260909084	0.378837163697856	0.332862010708879	0.186282495875772	0.26841387135045	0.186282495875772	0.186282495875772	0.227966791486174
C17orf49	14.1250181352948	14.0925279757946	15.3875764885613	16.6988685182578	14.7133236092385	13.148078803453	14.0925279757946	13.148078803453	13.148078803453	14.1250181352948
C17orf50	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255	0.149043639670255
C17orf58	42.1284925939371	36.2158894551607	34.5627550176542	48.4481085408541	49.7114995428006	52.1348289563995	36.2158894551607	52.1348289563995	52.1348289563995	42.1284925939371
C17orf64	0.00555243697129071	-0.0877982208381334	-0.0877982208381334	-0.0877982208381334	-0.0877982208381334	6.88184144335882	-0.0877982208381334	6.88184144335882	6.88184144335882	0.00555243697129071
C17orf67	6.57810081360513	7.97170160018228	6.53365182550471	6.94129513732546	7.22950618749547	7.40100012742202	7.97170160018228	7.40100012742202	7.40100012742202	6.57810081360513
C17orf75	11.6790044693539	15.0425127162246	9.24445556906418	7.46367117199822	10.9058206295164	7.73528997613943	15.0425127162246	7.73528997613943	7.73528997613943	11.6790044693539
C17orf80	8.37653212137426	12.80063993371	12.5010106512002	6.70409671868457	7.68066252916975	7.90489382562361	12.80063993371	7.90489382562361	7.90489382562361	8.37653212137426
C17orf97	3.41559657525678	3.51233341727857	3.51451800156167	2.75524979251318	1.83714749284208	1.9058887640457	3.51233341727857	1.9058887640457	1.9058887640457	3.41559657525678
C18orf21	31.4158664710634	30.8269596717027	33.1646739266843	29.8044102565803	26.9015606271778	26.905489333554	30.8269596717027	26.905489333554	26.905489333554	31.4158664710634
C18orf25	15.3704604762838	12.0378429684027	10.2517755585571	10.1878866969616	11.7751328107962	12.3130136123922	12.0378429684027	12.3130136123922	12.3130136123922	15.3704604762838
C18orf32	15.4588101358716	14.3117048052522	16.2557441956676	13.6314869248559	13.5216059940081	14.2746000091134	14.3117048052522	14.2746000091134	14.2746000091134	15.4588101358716
C18orf54	4.4419471834744	4.59746121763603	4.49419782643322	1.93411778515824	2.50968747743991	3.7966733907684	4.59746121763603	3.7966733907684	3.7966733907684	4.4419471834744
C19orf12	9.41536529757816	12.8005648930761	12.2587481115779	11.7496364267345	9.44385848543207	13.1052642102631	12.8005648930761	13.1052642102631	13.1052642102631	9.41536529757816
C19orf18	0.156574302436692	0.0011862598652741	0.0011862598652741	0.366330502530266	0.0011862598652741	0.192033292233179	0.0011862598652741	0.192033292233179	0.192033292233179	0.156574302436692
C19orf25	27.1342459942994	30.429189635107	25.303342516895	30.6445520154147	30.8707323950451	33.5254683418586	30.429189635107	33.5254683418586	33.5254683418586	27.1342459942994
C19orf33	144.907403353444	179.699716999016	153.422613118837	184.674738088336	188.569058271901	157.221756857357	179.699716999016	157.221756857357	157.221756857357	144.907403353444
